"","Edu.mere","Prof.mere","Edu.pere","Prof.pere","Temps.revision","Adresse","Internet","Cours.parti","Taille.famille","Cohab.parent","Age"
"245","M.College","M.Autre profession","P.Ecole primaire","P.Autre profession","5-10h","Urbain","Internet","Cours p.",">3 pers.","Ensemble",">=18 ans"
"12","M.College","M.Public","P.Ecole primaire","P.Autre profession","5-10h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"44","M.College","M.Public","P.College","P.Public","<2h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"356","M.Lycee","M.Public","P.Lycee","P.Public","2-5h","Urbain","Pas internet","Pas cours. p",">3 pers.","Ensemble",">=18 ans"
"317","M.College","M.Public","P.Ecole primaire","P.Autre profession","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble",">=18 ans"
"220","M.College","M.Sans travail","P.College","P.Sans travail","5-10h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"177","M.College","M.Public","P.College","P.Autre profession","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"172","M.Ecole primaire","M.Autre profession","P.Aucune","P.Autre profession","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"322","M.College","M.Autre profession","P.College","P.Autre profession","2-5h","Urbain","Pas internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"165","M.Ecole primaire","M.Autre profession","P.Ecole primaire","P.Public","2-5h","Rural","Pas internet","Pas cours. p","<=3 pers.","Ensemble","<18 ans"
"275","M.College","M.Sans travail","P.Etude superieure","P.Sante","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"77","M.Etude superieure","M.Enseignant","P.Aucune","P.Autre profession",">10h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"103","M.Etude superieure","M.Public","P.Etude superieure","P.Autre profession","<2h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"94","M.Etude superieure","M.Enseignant","P.College","P.Public","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"56","M.College","M.Autre profession","P.Ecole primaire","P.Autre profession","2-5h","Urbain","Internet","Cours p.",">3 pers.","Séparé","<18 ans"
"144","M.Ecole primaire","M.Sans travail","P.Ecole primaire","P.Sans travail","<2h","Urbain","Internet","Pas cours. p","<=3 pers.","Ensemble","<18 ans"
"108","M.Lycee","M.Public","P.Lycee","P.Autre profession","5-10h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"102","M.Etude superieure","M.Public","P.Etude superieure","P.Enseignant","5-10h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"367","M.Etude superieure","M.Enseignant","P.Etude superieure","P.Public","5-10h","Urbain","Internet","Cours p.","<=3 pers.","Ensemble",">=18 ans"
"26","M.College","M.Public","P.College","P.Public","<2h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"173","M.Etude superieure","M.Enseignant","P.Etude superieure","P.Autre profession","2-5h","Urbain","Internet","Cours p.","<=3 pers.","Ensemble","<18 ans"
"294","M.Lycee","M.Public","P.Ecole primaire","P.Autre profession",">10h","Rural","Pas internet","Cours p.","<=3 pers.","Ensemble","<18 ans"
"10","M.Lycee","M.Autre profession","P.Etude superieure","P.Autre profession","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"348","M.Etude superieure","M.Enseignant","P.Lycee","P.Autre profession","5-10h","Urbain","Internet","Cours p.",">3 pers.","Ensemble",">=18 ans"
"38","M.Etude superieure","M.Autre profession","P.Etude superieure","P.Enseignant","5-10h","Rural","Internet","Pas cours. p",">3 pers.","Séparé","<18 ans"
"219","M.College","M.Sans travail","P.Lycee","P.Autre profession","<2h","Urbain","Pas internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"377","M.Etude superieure","M.Sante","P.College","P.Autre profession","5-10h","Urbain","Internet","Cours p.",">3 pers.","Ensemble",">=18 ans"
"215","M.Etude superieure","M.Public","P.Etude superieure","P.Autre profession","<2h","Rural","Pas internet","Cours p.","<=3 pers.","Ensemble","<18 ans"
"310","M.Ecole primaire","M.Sans travail","P.Ecole primaire","P.Autre profession","2-5h","Urbain","Internet","Pas cours. p","<=3 pers.","Ensemble",">=18 ans"
"341","M.College","M.Public","P.Ecole primaire","P.Public","5-10h","Urbain","Internet","Cours p.",">3 pers.","Ensemble",">=18 ans"
"362","M.Ecole primaire","M.Sans travail","P.Ecole primaire","P.Autre profession","2-5h","Rural","Pas internet","Pas cours. p","<=3 pers.","Ensemble",">=18 ans"
"343","M.Lycee","M.Public","P.Etude superieure","P.Autre profession","2-5h","Urbain","Internet","Pas cours. p","<=3 pers.","Ensemble",">=18 ans"
"147","M.Lycee","M.Sante","P.College","P.Public","2-5h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"381","M.Etude superieure","M.Enseignant","P.Etude superieure","P.Enseignant","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble",">=18 ans"
"33","M.Etude superieure","M.Enseignant","P.Lycee","P.Sans travail","2-5h","Rural","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"349","M.Etude superieure","M.Sante","P.Lycee","P.Autre profession","5-10h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"64","M.Etude superieure","M.Enseignant","P.Lycee","P.Sante","5-10h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"361","M.Ecole primaire","M.Sans travail","P.Etude superieure","P.Autre profession","2-5h","Rural","Pas internet","Pas cours. p","<=3 pers.","Séparé",">=18 ans"
"199","M.Etude superieure","M.Public","P.Etude superieure","P.Enseignant","<2h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"351","M.Ecole primaire","M.Autre profession","P.Ecole primaire","P.Public","2-5h","Rural","Internet","Pas cours. p",">3 pers.","Ensemble",">=18 ans"
"175","M.Lycee","M.Autre profession","P.Lycee","P.Autre profession","2-5h","Urbain","Internet","Cours p.","<=3 pers.","Ensemble","<18 ans"
"229","M.College","M.Sans travail","P.Ecole primaire","P.Autre profession","2-5h","Urbain","Internet","Cours p.","<=3 pers.","Ensemble",">=18 ans"
"293","M.College","M.Public","P.Ecole primaire","P.Sans travail","2-5h","Urbain","Internet","Pas cours. p","<=3 pers.","Ensemble",">=18 ans"
"32","M.Etude superieure","M.Public","P.Etude superieure","P.Public","2-5h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"123","M.College","M.Autre profession","P.Etude superieure","P.Sante","2-5h","Urbain","Internet","Cours p.","<=3 pers.","Ensemble","<18 ans"
"45","M.College","M.Autre profession","P.College","P.Sans travail","2-5h","Urbain","Internet","Pas cours. p","<=3 pers.","Ensemble","<18 ans"
"296","M.Lycee","M.Sante","P.Lycee","P.Autre profession","<2h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"243","M.Etude superieure","M.Enseignant","P.Lycee","P.Autre profession","<2h","Urbain","Internet","Pas cours. p","<=3 pers.","Ensemble","<18 ans"
"36","M.College","M.Autre profession","P.Lycee","P.Autre profession","<2h","Urbain","Pas internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"184","M.Lycee","M.Autre profession","P.Lycee","P.Autre profession","2-5h","Urbain","Internet","Pas cours. p","<=3 pers.","Ensemble","<18 ans"
"50","M.Etude superieure","M.Public","P.Etude superieure","P.Enseignant","2-5h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"68","M.Lycee","M.Public","P.Ecole primaire","P.Autre profession",">10h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"40","M.College","M.Sans travail","P.College","P.Autre profession","<2h","Rural","Pas internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"389","M.Lycee","M.Enseignant","P.Ecole primaire","P.Public","2-5h","Urbain","Internet","Cours p.","<=3 pers.","Ensemble",">=18 ans"
"342","M.Etude superieure","M.Enseignant","P.Etude superieure","P.Public","2-5h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble",">=18 ans"
"55","M.Lycee","M.Autre profession","P.Lycee","P.Autre profession","<2h","Urbain","Internet","Cours p.","<=3 pers.","Séparé","<18 ans"
"121","M.Ecole primaire","M.Sans travail","P.College","P.Public","2-5h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"164","M.Ecole primaire","M.Sans travail","P.Lycee","P.Public","<2h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"302","M.Etude superieure","M.Autre profession","P.Etude superieure","P.Enseignant","<2h","Urbain","Internet","Cours p.","<=3 pers.","Ensemble","<18 ans"
"369","M.College","M.Sans travail","P.Lycee","P.Public","<2h","Urbain","Internet","Cours p.",">3 pers.","Ensemble",">=18 ans"
"11","M.Etude superieure","M.Enseignant","P.Etude superieure","P.Sante","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"216","M.Lycee","M.Autre profession","P.College","P.Autre profession","2-5h","Urbain","Internet","Cours p.","<=3 pers.","Ensemble","<18 ans"
"30","M.Etude superieure","M.Enseignant","P.Etude superieure","P.Enseignant","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"254","M.College","M.Autre profession","P.Ecole primaire","P.Autre profession","<2h","Rural","Pas internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"309","M.Lycee","M.Autre profession","P.Lycee","P.Public","2-5h","Rural","Pas internet","Pas cours. p",">3 pers.","Ensemble",">=18 ans"
"273","M.Ecole primaire","M.Autre profession","P.Ecole primaire","P.Autre profession","2-5h","Urbain","Pas internet","Cours p.","<=3 pers.","Ensemble",">=18 ans"
"74","M.Lycee","M.Autre profession","P.Ecole primaire","P.Autre profession","<2h","Urbain","Pas internet","Pas cours. p",">3 pers.","Ensemble","<18 ans"
"70","M.Lycee","M.Autre profession","P.Ecole primaire","P.Autre profession",">10h","Rural","Internet","Pas cours. p","<=3 pers.","Ensemble","<18 ans"
"202","M.College","M.Autre profession","P.Lycee","P.Autre profession","2-5h","Urbain","Pas internet","Cours p.",">3 pers.","Ensemble","<18 ans"
"211","M.Lycee","M.Autre profession","P.Lycee","P.Autre profession",">10h","Urbain","Internet","Cours p.",">3 pers.","Ensemble",">=18 ans"
"353","M.Ecole primaire","M.Sans travail","P.Lycee","P.Public","<2h","Urbain","Internet","Pas cours. p","<=3 pers.","Ensemble",">=18 ans"
"251","M.Lycee","M.Public","P.College","P.Autre profession","<2h","Urbain","Internet","Pas cours. p",">3 pers.","Ensemble",">=18 ans"
"169","M.College","M.Autre profession","P.College","P.Autre profession","2-5h","Urbain","Internet","Cours p.",">3 pers.","Ensemble","<18 ans"
